Date,Open,High,Low,Close,Adj Close,Volume
2011-03-03,5.307500,5.337500,5.060000,5.217500,4.786671,159370400
2011-03-04,5.222500,5.275000,5.132500,5.190000,4.761440,95976000
2011-03-07,5.227500,5.245000,4.987500,5.117500,4.694927,101914000
2011-03-08,5.172500,5.200000,4.780000,4.887500,4.483920,194718400
2011-03-09,4.872500,4.920000,4.742500,4.785000,4.389884,131897600
2011-03-10,4.675000,4.710000,4.475000,4.480000,4.110068,172273600
2011-03-11,4.517500,4.637500,4.415000,4.512500,4.139885,148683200
2011-03-14,4.547500,4.662500,4.475000,4.550000,4.174287,100336000
2011-03-15,4.327500,4.490000,4.252500,4.415000,4.050436,125628000
2011-03-16,4.375000,4.587500,4.325000,4.382500,4.020618,147652000
2011-03-17,4.500000,4.507500,4.300000,4.465000,4.096306,123851600
2011-03-18,4.535000,4.550000,4.400000,4.405000,4.041259,88696000
2011-03-21,4.500000,4.545000,4.395000,4.440000,4.073371,75183200
2011-03-22,4.427500,4.470000,4.342500,4.362500,4.002270,71833200
2011-03-23,4.355000,4.465000,4.260000,4.452500,4.084838,78239600
2011-03-24,4.547500,4.862500,4.537500,4.807500,4.410524,178059200
2011-03-25,4.850000,4.862500,4.650000,4.657500,4.272909,119639200
2011-03-28,4.767500,4.910000,4.725000,4.830000,4.431168,120428400
2011-03-29,4.830000,4.847500,4.727500,4.792500,4.396762,71576400
2011-03-30,4.830000,4.850000,4.552500,4.612500,4.231628,117632000
2011-03-31,4.620000,4.670000,4.530000,4.615000,4.233920,65511200
2011-04-01,4.675000,4.680000,4.487500,4.550000,4.174287,85007200
2011-04-04,4.550000,4.562500,4.355000,4.387500,4.025205,92432800
2011-04-05,4.452500,4.487500,4.385000,4.395000,4.032086,82107600
2011-04-06,4.427500,4.432500,4.327500,4.365000,4.004565,85698400
2011-04-07,4.375000,4.552500,4.357500,4.525000,4.151353,102120800
2011-04-08,4.560000,4.560000,4.375000,4.387500,4.025205,74655200
2011-04-11,4.405000,4.427500,4.282500,4.330000,3.972454,54620800
2011-04-12,4.287500,4.372500,4.207500,4.342500,3.983922,84075600
2011-04-13,4.387500,4.467500,4.332500,4.440000,4.073371,74958800
2011-04-14,4.400000,4.630000,4.375000,4.627500,4.245389,125470400
2011-04-15,4.592500,4.735000,4.570000,4.677500,4.291258,96972000
2011-04-18,4.567500,4.597500,4.450000,4.522500,4.149059,74358400
2011-04-19,4.525000,4.542500,4.382500,4.505000,4.133003,65986000
2011-04-20,4.670000,4.737500,4.567500,4.642500,4.259151,65051600
2011-04-21,4.692500,4.722500,4.620000,4.630000,4.247682,42130000
2011-04-25,4.650000,4.780000,4.647500,4.702500,4.314195,61961200
2011-04-26,4.742500,4.872500,4.695000,4.825000,4.426581,67600000
2011-04-27,4.850000,4.850000,4.725000,4.825000,4.426581,45000400
2011-04-28,4.825000,4.975000,4.770000,4.877500,4.474744,68400000
2011-04-29,4.910000,5.110000,4.902500,5.000000,4.587129,83600000
2011-05-02,5.105000,5.107500,4.907500,4.932500,4.525204,61382400
