Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
131072,how delisting chinese stocks could hurt wall street,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16222946/how-delisting-chinese-stocks-could-hurt-wall-street,Wayne Duggan,2020-06-10 13:22:00-04:00,BABA,1,1,1,1,0,0,1,1,1,0.23665000000000003
131073,alibaba to add workers to its cloud division as it plans b investment,https://www.benzinga.com/news/20/06/16208774/alibaba-to-add-5-000-workers-to-its-cloud-division-as-it-plans-28b-investment,Neer Varshney,2020-06-09 10:00:07-04:00,BABA,1,2,1,1,1,1,1,1,1,0.5
131074,jdcom heads for hong kong listing global times report,https://www.benzinga.com/news/20/06/16201915/jd-com-heads-for-hong-kong-listing-global-times-report,Benzinga Newsdesk,2020-06-08 10:01:37-04:00,BABA,1,2,1,1,1,1,1,1,1,0.5
131075,market shrugs off potential delisting of chinese stocks,https://www.benzinga.com/news/20/06/16180557/market-shrugs-off-potential-delisting-of-chinese-stocks,Wayne Duggan,2020-06-04 12:47:56-04:00,BABA,1,1,1,1,1,1,1,1,1,0.5
131076,chinese ev maker xpeng motors seeks m us ipo report,https://www.benzinga.com/news/20/06/16168930/chinese-ev-maker-xpeng-motors-seeks-500m-us-ipo-report,Shanthi Rexaline,2020-06-03 13:58:56-04:00,BABA,1,2,1,1,1,1,1,1,1,0.5
131077,best inc amended d filing from alibaba shows raised stake from to ,https://www.benzinga.com/news/20/06/16168614/best-inc-amended-13d-filing-from-alibaba-shows-raised-stake-from-32-9-to-37-2,Benzinga Newsdesk,2020-06-03 08:55:04-04:00,BABA,1,2,1,1,1,1,1,1,1,0.81845
131078,moneygram shares jump as western union reportedly looks for acquisition,https://www.benzinga.com/m-a/20/06/16156730/moneygram-shares-jump-50-as-western-union-reportedly-looks-for-acquisition,Neer Varshney,2020-06-02 07:44:22-04:00,BABA,1,1,1,1,1,1,1,0,1,0.648
131079,apple cuts iphone prices in china to push sales as country reopens economy,https://www.benzinga.com/news/20/06/16156462/apple-cuts-iphone-prices-in-china-to-push-sales-as-country-reopens-economy,Shivdeep Dhaliwal,2020-06-02 00:35:47-04:00,BABA,1,1,0,1,0,0,1,0,0,0.352
131080,tigress financial analyst aaron ju comments on netease secondary offering in hong kong says more chinese companies listed in the us stock exchange will pursue second listing in hong kong markets against the risk from increasing uschina tensions,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16152148/tigress-financial-analyst-aaron-ju-comments-on-netease-secondary-offering-in-hong-k,Benzinga Newsdesk,2020-06-01 12:57:29-04:00,BABA,1,2,1,1,1,1,1,1,1,0.20705
131081,fast money picks for june ,https://www.benzinga.com/media/20/06/16148410/fast-money-picks-for-june-1,Craig Jones,2020-06-01 07:59:38-04:00,BABA,1,2,1,1,0,1,1,1,1,0.5
131082,fedex named as suitor for german parcel company,https://www.benzinga.com/news/20/05/16141726/fedex-named-as-suitor-for-german-parcel-company,FreightWaves,2020-05-29 00:00:00,BABA,1,2,1,1,1,1,1,1,1,0.5
131083,best reports deal with alibabacom hong kong to issue sell m in convertible senior notes due ,https://www.benzinga.com/news/20/05/16125357/best-reports-deal-with-alibaba-com-hong-kong-to-issue-sell-150m-in-convertible-senior-notes-due-2025,Benzinga Newsdesk,2020-05-28 00:00:00,BABA,1,2,1,1,1,1,1,1,1,0.81845
131084,ecommerce drives multipronged expansion at ups airlines,https://www.benzinga.com/news/20/05/16123265/e-commerce-drives-multi-pronged-expansion-at-ups-airlines,FreightWaves,2020-05-27 00:00:00,BABA,1,2,1,1,1,1,1,1,1,0.5
131085,tencent to invest b in cloud ai projects in china as country looks to move past pandemic,https://www.benzinga.com/news/20/05/16113171/tencent-to-invest-70b-in-cloud-ai-projects-in-china-as-country-looks-to-move-past-pandemic,Neer Varshney,2020-05-27 00:00:00,BABA,1,0,1,1,1,0,1,1,1,0.5
131086,cfra maintains hold on alibaba group holding lowers price target to ,https://www.benzinga.com/news/20/05/16108219/cfra-maintains-hold-on-alibaba-group-holding-lowers-price-target-to-216,vishwanath@benzinga.com,2020-05-26 00:00:00,BABA,1,2,1,1,1,1,1,1,1,0.436
131087,nomura instinet earlier maintained buy on alibaba group holding raised price target to ,https://www.benzinga.com/news/20/05/16108103/nomura-instinet-earlier-maintained-buy-on-alibaba-group-holding-raised-price-target-to-249,Benzinga_Newsdesk,2020-05-26 00:00:00,BABA,1,0,1,1,1,1,1,1,1,0.5
131088,alibaba group shares are trading higher after b of a securities reiterated a buy rating on the stock,https://www.benzinga.com/wiim/20/05/16105474/alibaba-group-shares-are-trading-higher-after-b-of-a-securities-reiterated-a-buy-rating-on-the-stock,Benzinga Newsdesk,2020-05-26 00:00:00,BABA,1,0,1,1,1,1,1,1,1,0.76335
131089,b of a securities reiterates buy on alibaba group holding lowers price target to ,https://www.benzinga.com/news/20/05/16105098/b-of-a-securities-reiterates-buy-on-alibaba-group-holding-lowers-price-target-to-241,vishwanath@benzinga.com,2020-05-26 00:00:00,BABA,1,2,1,1,1,1,1,1,1,0.58895
131090,midafternoon market update nasdaq turns higher hewlett packard shares tumble,https://www.benzinga.com/news/earnings/20/05/16096798/mid-afternoon-market-update-nasdaq-turns-higher-hewlett-packard-shares-tumble,Lisa Levin,2020-05-22 00:00:00,BABA,1,0,1,1,0,0,1,1,1,0.648
131091,midday market update liveramp surges following q results syndax pharmaceuticals shares plummet,https://www.benzinga.com/news/20/05/16095888/mid-day-market-update-liveramp-surges-following-q4-results-syndax-pharmaceuticals-shares-plummet,Lisa Levin,2020-05-22 00:00:00,BABA,1,1,1,1,1,1,1,1,1,0.648
131092,alibaba executive tells investors not to worry about us delisting nikkei asian review report,https://www.benzinga.com/news/20/05/16095317/alibaba-executive-tells-investors-not-to-worry-about-us-delisting-nikkei-asian-review-report,Benzinga Newsdesk,2020-05-22 00:00:00,BABA,1,2,1,1,1,1,1,1,1,0.6706
