Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
734838,shares of several companies in the broader consumer staples sector are trading lower as markets dip amid concerns of a second wave of the coronavirus virus concerns have clouded economic outlook and negatively impacted stocks across sectors including staples,https://www.benzinga.com/wiim/20/06/16233718/shares-of-several-companies-in-the-broader-consumer-staples-sector-are-trading-lower-as-markets-dip,Benzinga Newsdesk,2020-06-11 10:55:36-04:00,KO,0,1,0,1,0,0,0,0,0,0.4742
734839,morgan stanley maintains equalweight on cocacola raises price target to ,https://www.benzinga.com/news/20/06/16200301/morgan-stanley-maintains-equal-weight-on-coca-cola-raises-price-target-to-52,Benzinga Newsdesk,2020-06-08 08:13:45-04:00,KO,1,2,1,1,1,0,1,1,1,0.5
734840,shares of several consumer staples are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some us states reopen businesses a vaccine could bring a return to increased consumer spending,https://www.benzinga.com/wiim/20/05/16107972/shares-of-several-consumer-staples-are-trading-higher-in-sympathy-with-the-overall-market-as-equitie,Benzinga Newsdesk,2020-05-26 12:14:42-04:00,KO,1,0,1,1,1,1,1,1,1,0.9329000000000001
734841,cocacola shares are trading higher potentially amid strength in overall market additionally reopenings of some us restaurants and venues could be potential demand catalysts for the companys products,https://www.benzinga.com/wiim/20/05/16077508/coca-cola-shares-are-trading-higher-potentially-amid-strength-in-overall-market-additionally-reopeni,Benzinga Newsdesk,2020-05-20 12:39:14-04:00,KO,1,0,1,1,1,1,1,1,1,0.7997000000000001
734842,cocacola cfo says trough will come in q says bullish credit suisse,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16044075/coca-cola-cfo-says-trough-will-come-in-q2-says-bullish-credit-suisse,Priya Nigam,2020-05-15 12:16:01-04:00,KO,1,0,1,1,1,1,1,1,1,0.6909
734843,not just fun and games how esports could offer potential investment opportunities,https://www.benzinga.com/general/education/20/05/16008509/not-just-fun-and-games-how-esports-could-offer-potential-investment-opportunities,TD Ameritrade,2020-05-12 06:43:29-04:00,KO,1,2,1,1,1,1,1,1,1,0.48685
734844,shares of several consumer goods companies are trading higher amid overall market strength betterthanexpected us jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending,https://www.benzinga.com/wiim/20/05/15990518/shares-of-several-consumer-goods-companies-are-trading-higher-amid-overall-market-strength-better-th,Benzinga Newsdesk,2020-05-08 11:36:52-04:00,KO,1,0,1,1,1,1,1,1,1,0.92405
734845,citigroup maintains neutral on cocacola lowers price target to ,https://www.benzinga.com/news/20/04/15858443/citigroup-maintains-neutral-on-coca-cola-lowers-price-target-to-51,Vick Meyer,2020-04-22 12:34:03-04:00,KO,1,2,1,1,1,1,1,1,1,0.436
734846,jefferies maintains hold on cocacola lowers price target to ,https://www.benzinga.com/news/20/04/15857241/jefferies-maintains-hold-on-coca-cola-lowers-price-target-to-47,Vick Meyer,2020-04-22 10:52:00-04:00,KO,1,2,0,1,0,1,1,1,1,0.436
734847,ubs maintains buy on cocacola lowers price target to ,https://www.benzinga.com/news/20/04/15856810/ubs-maintains-buy-on-coca-cola-lowers-price-target-to-154,vishwanath@benzinga.com,2020-04-22 10:02:38-04:00,KO,1,2,1,1,1,1,1,1,1,0.436
734848,rbc capital maintains outperform on cocacola lowers price target to ,https://www.benzinga.com/news/20/04/15855267/rbc-capital-maintains-outperform-on-coca-cola-lowers-price-target-to-55,Benzinga_Newsdesk,2020-04-22 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.436
734849,midafternoon market update dow slides points vaxart shares spike higher,https://www.benzinga.com/news/earnings/20/04/15850653/mid-afternoon-market-update-dow-slides-500-points-vaxart-shares-spike-higher,Lisa Levin,2020-04-21 00:00:00,KO,1,0,0,1,0,0,1,1,1,0.648
734850,cocacola ceo global volumes fell off a cliff,https://www.benzinga.com/news/earnings/20/04/15849662/coca-cola-ceo-global-volumes-fell-off-a-cliff,Jayson Derrick,2020-04-21 00:00:00,KO,0,1,0,1,0,0,0,0,0,0.5
734851,update cfra on cocacola notes with its dividend yield and high singledigit longterm eps growth goal we view ko as a stock capable of low doubledigit total return potential and see little risk to kos dividend,https://www.benzinga.com/analyst-ratings/analyst-color/20/04/15850142/update-cfra-on-coca-cola-notes-with-its-3-5-dividend-yield-and-high-single-digit-lo,Benzinga_Newsdesk,2020-04-21 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.65835
734852,update cfra maintains strong buy on cocacola lowers target to notes ko remains one of our top picks although disclosure of a volume decline since april proves that almost no company is immune from covid impacts,https://www.benzinga.com/analyst-ratings/analyst-color/20/04/15850141/update-cfra-maintains-strong-buy-on-coca-cola-lowers-target-to-55-notes-ko-remains-,Benzinga_Newsdesk,2020-04-21 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.7992
734853,afternoon market stats in minutes,https://www.benzinga.com/intraday-update/20/04/15849281/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-04-21 00:00:00,KO,1,2,1,1,0,0,1,1,1,0.5
734854,midday market update tristate capital jumps following q results cyclacel pharmaceuticals shares plunge,https://www.benzinga.com/news/earnings/20/04/15849594/mid-day-market-update-tristate-capital-jumps-following-q1-results-cyclacel-pharmaceuticals-shares-p,Lisa Levin,2020-04-21 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.648
734855,cocacola faces deteriorating environment but bofa says fundamentals remain solid,https://www.benzinga.com/analyst-ratings/analyst-color/20/04/15848209/coca-cola-faces-deteriorating-environment-but-bofa-says-fundamentals-remain-solid,Priya Nigam,2020-04-21 00:00:00,KO,1,0,1,1,0,0,1,1,0,0.61315
734856,cfra maintains strong buy on cocacola lowers price target to ,https://www.benzinga.com/news/20/04/15849205/cfra-maintains-strong-buy-on-coca-cola-lowers-price-target-to-55,vishwanath@benzinga.com,2020-04-21 00:00:00,KO,1,0,1,1,1,1,1,1,1,0.71075
734857,midmorning market update markets open lower cocacola tops q estimates,https://www.benzinga.com/news/earnings/20/04/15848502/mid-morning-market-update-markets-open-lower-coca-cola-tops-q1-estimates,Lisa Levin,2020-04-21 00:00:00,KO,0,1,0,1,1,0,0,0,0,0.6366
734858,cocacola ibm earnings under scrutiny as both multinationals withdraw guidance netflix later,https://www.benzinga.com/news/earnings/20/04/15848130/cocacola-ibm-earnings-under-scrutiny-as-both-multinationals-withdraw-guidance-netflix-later,JJ Kinahan,2020-04-21 00:00:00,KO,1,1,1,0,0,0,1,1,1,0.5
734859,cocacola cfo says does not forsee any significant ma activity this year co does not intend to repurchase shares going forward this year,https://www.benzinga.com/m-a/20/04/15846516/coca-cola-cfo-says-does-not-forsee-any-significant-m-a-activity-this-year-co-does-not-intend-to-repu,Benzinga Newsdesk,2020-04-21 00:00:00,KO,1,2,1,1,1,1,1,1,1,0.57755
734860,cocacola ceo says all plants in china are operating employees have returned to company offices in shanghai,https://www.benzinga.com/news/20/04/15846440/coca-cola-ceo-says-all-plants-in-china-are-operating-employees-have-returned-to-company-offices-in-s,Benzinga Newsdesk,2020-04-21 00:00:00,KO,1,1,1,1,1,1,1,1,1,0.5
