Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
850715,shares of several healthcare companies are trading lower in sympathy with the overall market following an increase in coronavirus cases in some us states that have reopened leading to concerns of a second wave of the virus,https://www.benzinga.com/wiim/20/06/16233278/shares-of-several-healthcare-companies-are-trading-lower-in-sympathy-with-the-overall-market-followi,Benzinga Newsdesk,2020-06-11 10:22:31-04:00,MRK,0,1,1,1,1,0,0,1,0,0.79295
850716,johnson johnson to start coronavirus vaccine human trials ahead of schedule in july,https://www.benzinga.com/general/biotech/20/06/16229020/johnson-johnson-to-start-coronavirus-vaccine-human-trials-ahead-of-schedule-in-july,Neer Varshney,2020-06-11 00:16:21-04:00,MRK,1,2,1,0,1,1,1,1,1,0.5
850717,the daily biotech pulse keytruda setback for merck denali pulls the plug on neurological asset,https://www.benzinga.com/general/biotech/20/06/16219829/the-daily-biotech-pulse-keytruda-setback-for-merck-denali-pulls-the-plug-on-neurological-asset,Shanthi Rexaline,2020-06-10 07:30:59-04:00,MRK,1,1,0,1,0,0,1,1,1,0.6806
850718,merck announces that the phase keynote trial evaluating keytruda as monotherapy and in combination with chemotherapy in patients with advanced or metastatic urothelial carcinoma,https://www.benzinga.com/news/20/06/16216257/merck-announces-that-the-phase-3-keynote-361-trial-evaluating-keytruda-as-monotherapy-and-in-combina,Benzinga Newsdesk,2020-06-09 16:13:02-04:00,MRK,1,0,1,1,1,1,1,1,1,0.625
850719,the week ahead in biotech viela fda decision hematology conference take center stage,https://www.benzinga.com/general/biotech/20/06/16193531/the-week-ahead-in-biotech-viela-fda-decision-hematology-conference-take-center-stage,Shanthi Rexaline,2020-06-07 13:43:52-04:00,MRK,1,2,1,1,1,1,1,1,1,0.5
850720,the daily biotech pulse adamas rallies on fda acceptance oxford immunotech reportedly gets m bid,https://www.benzinga.com/general/biotech/20/06/16188016/the-daily-biotech-pulse-adamas-rallies-on-fda-acceptance-oxford-immunotech-reportedly-gets-400m-b,Shanthi Rexaline,2020-06-05 07:34:09-04:00,MRK,1,0,1,1,1,1,1,1,1,0.7294
850721,merck reports fda approved recarbio for treatment of adults with hospitalacquired and ventilatorassociated bacterial pneumonia,https://www.benzinga.com/news/20/06/16187771/merck-reports-fda-approved-recarbio-for-treatment-of-adults-with-hospital-acquired-and-ventilator-as,Benzinga Newsdesk,2020-06-05 06:52:00-04:00,MRK,1,0,1,1,1,1,1,1,1,0.71075
850722,exfda chief on white houses coronavirus vaccine shortlist they chose very novel platforms,https://www.benzinga.com/government/20/06/16179215/ex-fda-chief-on-white-houses-coronavirus-vaccine-shortlist-they-chose-very-novel-platforms,Jayson Derrick,2020-06-04 11:02:25-04:00,MRK,1,2,1,1,1,1,1,1,1,0.6902
850723,the daily biotech pulse positive readout for kezar astrazeneca stitches oncology partnership dday for mercks triple combo antibiotic,https://www.benzinga.com/general/biotech/20/06/16178099/the-daily-biotech-pulse-positive-readout-for-kezar-astrazeneca-stitches-oncology-partnership-d-da,Shanthi Rexaline,2020-06-04 08:13:59-04:00,MRK,1,2,1,1,1,1,1,1,1,0.7787
850724,revisiting the coronavirus vaccine race updates on the candidates in clinics,https://www.benzinga.com/general/biotech/20/06/16174248/revisiting-the-coronavirus-vaccine-race-updates-on-the-10-candidates-in-clinics,Shanthi Rexaline,2020-06-03 17:53:42-04:00,MRK,1,2,1,1,1,1,1,1,1,0.5
