Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER,Sentiment_Random
857377,price over earnings overview morgan stanley,https://www.benzinga.com/intraday-update/20/06/16233860/price-over-earnings-overview-morgan-stanley,Benzinga Insights,2020-06-11 11:03:37-04:00,MS,1,2,0,1,1,0,1,1,1,0.5,1
857378,shares of several financial service companies are trading lower following an increase in coronavirus cases in some us states that have reopened leading to concerns of a second wave of the virus the fed kept rates at zero and noted it could stay there for as long as it takes for the economy to recover,https://www.benzinga.com/wiim/20/06/16232955/shares-of-several-financial-service-companies-are-trading-lower-following-an-increase-in-coronavirus,Benzinga Newsdesk,2020-06-11 10:05:13-04:00,MS,0,1,1,1,1,1,1,1,1,0.6591,0
857379,goldman sachs employees returning to their desks beginning june ,https://www.benzinga.com/news/20/06/16229569/goldman-sachs-employees-returning-to-their-desks-beginning-june-22,Shivdeep Dhaliwal,2020-06-11 07:55:18-04:00,MS,1,2,1,1,0,0,1,0,1,0.5,0
857380,shares of several financial services companies are trading lower as markets selloff following recent strength and as investors await todays federal reserve decision,https://www.benzinga.com/wiim/20/06/16222873/shares-of-several-financial-services-companies-are-trading-lower-as-markets-sell-off-following-recen,Benzinga Newsdesk,2020-06-10 10:50:40-04:00,MS,0,1,0,1,1,0,0,0,0,0.7787,0
857381,morgan stanley ceo james gorman says markets bounce back and magnitude of it has been a surprise to him,https://www.benzinga.com/news/20/06/16215530/morgan-stanley-ceo-james-gorman-says-markets-bounce-back-and-magnitude-of-it-has-been-a-surprise-to,Benzinga Newsdesk,2020-06-09 15:06:59-04:00,MS,1,1,1,1,1,1,1,1,1,0.6366,1
857382,morgan stanley ceo james gorman says greater china hong kong remain critical to co,https://www.benzinga.com/news/20/06/16214223/morgan-stanley-ceo-james-gorman-says-greater-china-hong-kong-remain-critical-to-co,Benzinga Newsdesk,2020-06-09 12:28:59-04:00,MS,1,2,1,1,1,0,1,1,1,0.5258,0
857383,facebookbacked jio platforms gets m from abu dhabi sovereign fund as it looks to challenge amazon walmart in india,https://www.benzinga.com/news/20/06/16198688/facebook-backed-jio-platforms-gets-750m-from-abu-dhabi-sovereign-fund-as-it-looks-to-challenge-amazo,Neer Varshney,2020-06-08 05:54:23-04:00,MS,1,0,1,1,1,0,1,1,1,0.625,0
857384,shares of several financial services companies are trading higher following strong us jobs data and continued optimism amid the reopening of the economy a reopening will likely result in an uptick in consumer spending and borrowing,https://www.benzinga.com/wiim/20/06/16191071/shares-of-several-financial-services-companies-are-trading-higher-following-strong-us-jobs-data-and,Benzinga Newsdesk,2020-06-05 11:34:00-04:00,MS,1,0,1,1,1,1,1,1,1,0.9200999999999999,1
857385,shares of several financial services companies are trading higher following strong us jobs data and continued optimism amid the reopening of the economy a reopening will likely result in more consumer spending and borrowing,https://www.benzinga.com/wiim/20/06/16190534/shares-of-several-financial-services-companies-are-trading-higher-following-strong-us-jobs-data-and,Benzinga Newsdesk,2020-06-05 11:03:40-04:00,MS,1,0,1,1,1,1,1,1,1,0.9200999999999999,1
857386,american well files for ipo as pandemic leads to telehealth demand surge,https://www.benzinga.com/general/biotech/20/06/16186940/american-well-files-for-ipo-as-pandemic-leads-to-telehealth-demand-surge,Neer Varshney,2020-06-05 02:09:52-04:00,MS,1,1,1,1,0,1,1,1,1,0.57655,1
