Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
929039,shares of several technology companies are trading higher on continued volatility despite market weakness the sector sold off recently as other sectors gained amid us economic reopening and appears to be rebounding,https://www.benzinga.com/wiim/20/06/16224173/shares-of-several-technology-companies-are-trading-higher-on-continued-volatility-despite-market-wea,Benzinga Newsdesk,2020-06-10 12:37:10-04:00,NVDA,1,0,1,1,1,1,1,1,1,0.8648
929040,afternoon market stats in minutes,https://www.benzinga.com/markets/20/06/16223572/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-06-10 12:12:25-04:00,NVDA,1,2,1,1,0,0,1,1,1,0.5
929041,morning market stats in minutes,https://www.benzinga.com/markets/20/06/16221744/morning-market-stats-in-5-minutes,Benzinga Insights,2020-06-10 10:22:11-04:00,NVDA,1,2,1,1,1,1,1,1,1,0.5
929042,shares of several technology companies are trading higher despite market weakness the sector recently experienced some welling and appears to be rebounding following dip,https://www.benzinga.com/wiim/20/06/16214789/shares-of-several-technology-companies-are-trading-higher-despite-market-weakness-the-sector-recentl,Benzinga Newsdesk,2020-06-09 13:40:43-04:00,NVDA,1,0,1,1,1,1,1,1,1,0.8648
929043,afternoon market stats in minutes,https://www.benzinga.com/markets/20/06/16203190/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-06-08 12:30:29-04:00,NVDA,1,2,1,1,0,0,1,1,1,0.5
929044,shares of some technology companies are trading lower despite market strength the sector has performed well this year to date and appears to be giving back some gains following run up,https://www.benzinga.com/wiim/20/06/16202647/shares-of-some-technology-companies-are-trading-lower-despite-market-strength-the-sector-has-perform,Benzinga Newsdesk,2020-06-08 10:53:46-04:00,NVDA,0,1,1,1,1,1,0,0,0,0.753
929045,morning market stats in minutes,https://www.benzinga.com/intraday-update/20/06/16201614/morning-market-stats-in-5-minutes,Benzinga Insights,2020-06-08 09:47:06-04:00,NVDA,1,2,1,1,1,1,1,1,1,0.5
929046,why bofa recommends buying gpu plays amd and nvidia,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16159710/why-bofa-recommends-buying-gpu-plays-amd-and-nvidia,Shanthi Rexaline,2020-06-02 13:20:06-04:00,NVDA,1,2,1,1,0,1,1,1,1,0.7202
929047,cramer weighs in on ciena harleydavidson and more,https://www.benzinga.com/media/20/06/16156600/cramer-weighs-in-on-ciena-harley-davidson-and-more,Craig Jones,2020-06-02 07:14:40-04:00,NVDA,1,1,1,1,1,1,1,1,1,0.5
929048,semiconductor industry to lobby for billions to boost us manufacturing,https://www.benzinga.com/news/20/05/16146018/semiconductor-industry-to-lobby-for-billions-to-boost-u-s-manufacturing,Charles Gross,2020-05-31 11:05:12-04:00,NVDA,1,0,1,0,1,0,1,1,1,0.71075
929049,synopsys siliconproven designware ddr ip for highperformance cloud computing networking chips selected by nvidia,https://www.benzinga.com/news/20/05/16127281/synopsys-silicon-proven-designware-ddr-ip-for-high-performance-cloud-computing-networking-chips-sele,Benzinga Newsdesk,2020-05-28 00:00:00,NVDA,1,2,1,1,1,1,1,1,1,0.5
