Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
1054626,afternoon market stats in minutes,https://www.benzinga.com/markets/20/06/16223572/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-06-10 12:12:25-04:00,QQQ,1,2,1,1,0,0,1,1,1,0.5
1054627,morning market stats in minutes,https://www.benzinga.com/markets/20/06/16221744/morning-market-stats-in-5-minutes,Benzinga Insights,2020-06-10 10:22:11-04:00,QQQ,1,2,1,1,1,1,1,1,1,0.5
1054628,afternoon market stats in minutes,https://www.benzinga.com/markets/20/06/16213667/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-06-09 12:14:26-04:00,QQQ,1,2,1,1,0,0,1,1,1,0.5
1054629,cramer nasdaq rebound makes sense as it better represents economy,https://www.benzinga.com/markets/20/06/16211852/cramer-nasdaq-rebound-makes-sense-as-it-better-represents-economy,Jayson Derrick,2020-06-09 10:31:06-04:00,QQQ,1,0,1,1,1,1,1,1,1,0.7202
1054630,morning market stats in minutes,https://www.benzinga.com/markets/20/06/16212072/morning-market-stats-in-5-minutes,Benzinga Insights,2020-06-09 10:08:00-04:00,QQQ,1,2,1,1,1,1,1,1,1,0.5
1054631,nasdaq closes at alltime high,https://www.benzinga.com/news/20/06/16207641/nasdaq-closes-at-all-time-high,Drew Levine,2020-06-08 19:12:57-04:00,QQQ,1,2,1,1,1,1,1,1,1,0.5
1054632,afternoon market stats in minutes,https://www.benzinga.com/markets/20/06/16203190/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-06-08 12:30:29-04:00,QQQ,1,2,1,1,0,0,1,1,1,0.5
1054633,morning market stats in minutes,https://www.benzinga.com/intraday-update/20/06/16201614/morning-market-stats-in-5-minutes,Benzinga Insights,2020-06-08 09:47:06-04:00,QQQ,1,2,1,1,1,1,1,1,1,0.5
1054634,afternoon market stats in minutes,https://www.benzinga.com/intraday-update/20/06/16191224/afternoon-market-stats-in-5-minutes,Benzinga Insights,2020-06-05 13:48:24-04:00,QQQ,1,2,1,1,0,0,1,1,1,0.5
1054635,morning market stats in minutes,https://www.benzinga.com/intraday-update/20/06/16189361/morning-market-stats-in-5-minutes,Benzinga Insights,2020-06-05 10:15:06-04:00,QQQ,1,2,1,1,1,1,1,1,1,0.5
