,Edge
Sentiment_RandomForestClassifier,0.5809608540925267
Sentiment_GradientBoostingClassifier,0.5782918149466192
Sentiment_DecisionTreeClassifier,0.5774021352313167
Sentiment_XGBClassifier,0.5747330960854092
Sentiment_ensemble,0.5711743772241993
Sentiment_LogisticRegression,0.5551601423487544
Sentiment_SGDClassifier,0.5542704626334519
Sentiment_finbert,0.548932384341637
Sentiment_MultinomialNB,0.5284697508896797
Sentiment_KNeighborsClassifier,0.5088967971530249
Sentiment_Random,0.48735533647663953
