Date,Open,High,Low,Close,Adj Close,Volume
2009-06-22,24.260000,24.405001,23.995001,23.995001,15.450089,21359600
2009-06-23,24.094999,24.264999,23.875000,23.900000,15.388927,18727000
2009-06-24,24.059999,24.245001,23.680000,23.750000,15.292337,17777000
2009-06-25,23.709999,24.014999,23.590000,23.924999,15.405021,20630200
2009-06-26,23.860001,24.145000,23.815001,24.065001,15.495158,26200600
2009-06-29,24.070000,24.250000,24.059999,24.145000,15.546674,17526600
2009-06-30,24.105000,24.125000,23.905001,23.995001,15.450089,31447400
2009-07-01,24.240000,24.799999,24.205000,24.590000,15.833205,24212400
2009-07-02,24.385000,24.715000,24.385000,24.440001,15.736625,22199200
2009-07-06,24.340000,24.525000,24.190001,24.500000,15.775260,16671800
2009-07-07,24.365000,24.584999,24.275000,24.320000,15.659352,17109000
2009-07-08,24.275000,24.440001,24.084999,24.254999,15.617501,21321000
2009-07-09,24.360001,24.424999,24.254999,24.355000,15.681897,17427000
2009-07-10,24.250000,24.434999,24.010000,24.155001,15.553110,15619200
2009-07-13,24.190001,24.590000,24.049999,24.525000,15.791352,20608400
2009-07-14,24.510000,24.674999,24.370001,24.645000,15.868618,15369200
2009-07-15,24.735001,25.290001,24.695000,25.264999,16.267830,20127200
2009-07-16,25.174999,25.440001,25.080000,25.395000,16.351536,15817800
2009-07-17,25.155001,25.275000,25.014999,25.160000,16.200224,19808400
2009-07-20,25.305000,25.514999,25.035000,25.514999,16.428802,19104800
2009-07-21,25.415001,25.415001,24.900000,25.174999,16.209883,28738600
2009-07-22,25.160000,25.170000,24.424999,24.565001,15.817109,28358800
2009-07-23,24.565001,25.010000,24.440001,24.590000,15.833205,26749000
2009-07-24,24.705000,24.820000,24.420000,24.680000,15.891157,16574000
2009-07-27,24.680000,24.795000,24.575001,24.760000,15.942666,16257600
2009-07-28,24.715000,24.875000,24.500000,24.695000,15.900810,16079600
2009-07-29,24.709999,24.969999,24.545000,24.639999,15.865401,18125000
2009-07-30,24.910000,25.250000,24.775000,24.834999,15.990951,19436600
2009-07-31,24.820000,25.100000,24.750000,24.920000,16.045685,16822200
2009-08-03,25.014999,25.049999,24.650000,24.799999,15.968420,18436000
2009-08-04,24.780001,25.075001,24.674999,24.750000,15.936222,17580200
2009-08-05,24.754999,24.795000,24.500000,24.584999,15.829984,15010000
2009-08-06,24.705000,24.775000,24.600000,24.695000,15.900810,13811600
2009-08-07,24.830000,24.875000,24.584999,24.670000,15.884713,13305400
2009-08-10,24.629999,24.740000,24.490000,24.719999,15.916906,13499200
2009-08-11,24.709999,24.740000,24.475000,24.520000,15.788139,12509000
2009-08-12,24.480000,24.545000,24.215000,24.230000,15.601406,24894800
2009-08-13,24.215000,24.325001,23.709999,24.059999,15.491942,26560600
2009-08-14,24.025000,24.235001,24.000000,24.235001,15.604623,14806400
2009-08-17,24.219999,24.395000,24.059999,24.350000,15.678676,16211600
2009-08-18,24.375000,24.475000,24.240000,24.305000,15.649696,15516200
2009-08-19,24.160000,24.740000,24.160000,24.680000,15.891157,17039600
2009-08-20,24.695000,24.790001,24.559999,24.709999,15.910469,11873200
2009-08-21,24.799999,24.990000,24.625000,24.955000,16.068228,17650000
2009-08-24,24.900000,24.900000,24.405001,24.530001,15.794572,21742400
2009-08-25,24.559999,24.575001,24.344999,24.370001,15.691551,21427800
2009-08-26,24.410000,24.660000,24.350000,24.590000,15.833205,13591400
2009-08-27,24.590000,24.820000,24.379999,24.719999,15.916906,13884800
2009-08-28,24.809999,24.820000,24.459999,24.530001,15.794572,13716200
2009-08-31,24.420000,24.684999,24.250000,24.385000,15.701202,21321600
2009-09-01,24.360001,24.625000,24.190001,24.264999,15.623934,24552800
2009-09-02,24.275000,25.150000,24.275000,24.900000,16.032808,40824000
2009-09-03,24.815001,24.924999,24.615000,24.790001,15.961980,22579800
2009-09-04,24.650000,25.040001,24.525000,24.975000,16.081102,15117600
2009-09-08,24.969999,25.395000,24.860001,25.205000,16.229198,31283600
2009-09-09,25.195000,25.405001,25.120001,25.315001,16.300024,15813000
2009-09-10,25.264999,25.400000,25.080000,25.290001,16.283926,21545000
2009-09-11,25.065001,25.870001,25.000000,25.754999,16.718861,34130200
2009-09-14,25.540001,26.235001,25.455000,26.080000,16.929831,33162200
