Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2011-06-14,66.949997,67.360001,66.75,67.099998,46.976482,11389100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-06-15,67.0,67.0,65.709999,66.160004,46.318386,12623500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2011-06-16,65.699997,66.349998,65.470001,66.32,46.430386,11683900,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2011-06-17,66.629997,66.949997,66.190002,66.290001,46.409393,14336400,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2011-06-20,66.080002,66.739998,66.07,66.510002,46.563412,9309200,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2011-06-21,66.519997,66.75,66.160004,66.489998,46.549408,9811500,,,,,,,,,,
2011-06-22,66.470001,66.620003,66.050003,66.07,46.255371,7988100,,,,,,,,,,
2011-06-23,65.540001,65.739998,64.690002,65.669998,45.975327,16234800,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2011-06-24,65.57,65.610001,64.830002,65.059998,45.548275,13186200,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2011-06-27,65.290001,65.610001,65.0,65.25,45.681301,7199500,,,,,,,,,,
2011-06-28,65.589996,66.120003,65.379997,65.910004,46.143375,7724600,,,,,,,,,,
2011-06-29,66.230003,66.589996,65.93,66.309998,46.423405,9227000,,,,,,,,,,
2011-06-30,66.419998,66.910004,66.25,66.519997,46.570415,9747200,,,,,,,,,,
2011-07-01,66.480003,67.360001,66.269997,67.300003,47.116486,9216500,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2011-07-05,67.290001,67.669998,67.25,67.620003,47.340515,9773600,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-07-06,67.629997,67.75,67.370003,67.550003,47.291508,7100400,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-07-07,67.82,68.050003,67.400002,67.919998,47.55056,8415200,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2011-07-08,67.809998,67.989998,67.190002,67.57,47.305523,7866100,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2011-07-11,66.879997,67.410004,66.830002,67.269997,47.095482,8918900,,,,,,,,,,
2011-07-12,66.900002,67.68,66.830002,67.029999,46.927452,10528700,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2011-07-13,67.389999,67.980003,67.209999,67.629997,47.347523,9031700,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-14,67.599998,67.93,67.470001,67.660004,47.368523,9636500,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2011-07-15,67.730003,67.949997,66.989998,67.449997,47.2215,10245100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
