Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
2010-01-20,30.76,31.24,30.35,30.629999,23.082794,21198800,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2845
2010-01-21,30.290001,30.549999,28.24,29.34,22.110647,56774400,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.352
2010-01-22,28.65,29.18,27.42,27.799999,20.9501,46713700,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-01-25,28.219999,28.52,27.360001,27.74,20.904888,21100900,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.21405000000000002
2010-01-26,27.68,28.290001,27.209999,27.33,20.595905,24376400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20705
2010-01-27,27.34,28.110001,26.91,27.950001,21.101749,31041900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60115
2010-01-28,28.200001,28.25,27.120001,27.49,20.754457,25480700,,,,,,,,,
2010-01-29,27.83,27.85,26.65,26.780001,20.218414,21166100,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.436
2010-02-01,26.950001,28.0,26.92,27.559999,20.80731,19559900,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2010-02-02,27.6,28.209999,27.51,28.059999,21.184795,20992500,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3194
2010-02-03,28.16,28.43,27.690001,27.889999,21.05645,18498800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-02-04,27.610001,27.65,26.5,26.629999,20.105171,29785300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-02-05,26.58,27.290001,26.15,27.26,20.580809,25551300,,,,,,,,,
2010-02-08,27.09,27.540001,26.389999,26.6,20.08252,14517500,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-02-09,26.860001,27.299999,26.59,27.129999,20.482658,19517300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-02-10,27.08,27.75,27.030001,27.51,20.769558,13858300,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.44865
2010-02-11,27.4,27.530001,26.879999,27.120001,20.475111,18823500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-02-12,26.610001,27.299999,26.450001,27.16,20.505308,16628700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-02-16,27.450001,27.93,27.360001,27.82,21.003597,15765300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24469999999999997
2010-02-17,27.870001,27.959999,27.23,27.389999,20.678961,16590200,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4614
2010-02-18,27.23,27.49,27.0,27.26,20.580809,12147400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74695
2010-02-19,27.1,27.5,26.92,27.41,20.694059,12358500,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.23665000000000003
2010-02-22,27.52,27.870001,27.309999,27.709999,20.920549,14503100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-02-23,27.639999,28.42,27.1,27.15,20.497761,20896400,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-02-24,27.27,27.98,27.09,27.83,21.011148,17933600,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.60115
2010-02-25,27.309999,27.83,27.1,27.74,20.943201,15301300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26165
2010-02-26,27.73,28.41,27.6,28.18,21.275396,18672100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83525
2010-03-01,28.299999,28.639999,28.110001,28.190001,21.282948,9220800,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3634
2010-03-02,28.379999,28.92,28.33,28.700001,21.667984,13052300,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-03-03,28.639999,28.85,28.290001,28.32,21.38109,17662800,,,,,,,,,
2010-03-04,28.389999,29.280001,28.389999,29.200001,22.045475,20645400,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.23665000000000003
2010-03-05,29.530001,29.75,29.27,29.41,22.204021,18016100,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.23665000000000003
2010-03-08,29.52,29.74,29.33,29.58,22.332369,11056900,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-03-09,29.450001,29.51,28.959999,29.049999,21.932222,20072800,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.23665000000000003
2010-03-10,29.219999,30.299999,28.83,29.969999,22.626812,29179500,,,,,,,,,
2010-03-11,29.93,30.120001,29.629999,30.02,22.664557,14993600,,,,,,,,,
2010-03-12,30.15,30.790001,29.83,29.91,22.581511,19440400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-03-15,29.77,30.0,29.280001,29.639999,22.377666,17780600,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.38685
2010-03-16,29.74,30.42,29.540001,30.309999,22.883503,16673100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23665000000000003
2010-03-17,30.530001,30.67,30.059999,30.280001,22.860855,18425700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44865
2010-03-18,30.200001,30.360001,29.700001,30.08,22.709856,16285100,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2010-03-19,29.629999,30.209999,29.5,29.629999,22.370119,24666000,,,,,,,,,
2010-03-22,29.299999,29.74,29.08,29.6,22.347466,12571400,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.352
2010-03-23,29.629999,29.74,29.35,29.530001,22.294622,12139800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2010-03-24,29.42,29.68,29.26,29.370001,22.173819,12954600,,,,,,,,,
2010-03-25,29.540001,29.790001,28.870001,28.91,21.82653,21705900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-03-26,29.08,29.219999,28.58,28.85,21.781227,18225900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-03-29,29.280001,29.6,29.0,29.43,22.219124,15036000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.23665000000000003
2010-03-30,29.309999,29.459999,28.82,29.209999,22.05302,14466600,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3194
2010-03-31,28.950001,29.51,28.799999,29.290001,22.113424,12761400,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-04-01,29.459999,29.870001,29.09,29.200001,22.045475,17770400,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-05,29.280001,29.49,29.129999,29.290001,22.113424,11429600,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-06,29.25,29.620001,28.959999,29.360001,22.166273,13642100,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2706
2010-04-07,29.309999,30.370001,29.25,30.02,22.664557,21879400,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-08,29.9,30.950001,29.73,30.879999,23.313848,20867700,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-09,31.1,31.450001,30.75,30.98,23.389341,18779900,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-12,31.139999,31.309999,30.75,30.93,23.351593,13093600,,,,,,,,,
2010-04-13,30.83,30.99,30.4,30.48,23.01185,13988600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-04-14,30.950001,31.450001,30.5,31.139999,23.510139,28735600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-04-15,31.110001,31.209999,30.73,30.879999,23.313848,15022200,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-04-16,30.75,30.790001,28.67,29.16,22.015276,60500600,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20705
2010-04-19,28.9,29.889999,28.76,29.559999,22.317261,29210000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14984999999999998
2010-04-20,29.83,30.52,29.440001,30.450001,22.989202,29167000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38685
2010-04-21,31.379999,32.290001,31.09,31.68,23.917833,44637300,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-22,31.139999,32.099998,30.889999,31.9,24.083925,22972300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2010-04-23,31.969999,32.16,31.620001,31.940001,24.114126,13899800,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3634
2010-04-26,31.879999,31.959999,30.76,30.940001,23.359142,17900900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2798
2010-04-27,30.610001,31.23,29.76,29.93,22.596615,27671000,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-04-28,30.27,30.9,29.950001,30.33,22.936924,19166500,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-04-29,30.65,31.76,30.43,31.309999,23.678049,18862200,,,,,,,,,
2010-04-30,30.99,31.08,30.200001,30.219999,22.853729,25201500,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-05-03,30.25,30.6,29.799999,30.43,23.012545,14632100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-05-04,30.049999,30.049999,29.33,29.49,22.301676,20459800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-05-05,28.969999,29.6,28.75,29.290001,22.150433,15766700,,,,,,,,,
2010-05-06,29.0,29.27,26.309999,27.639999,20.902622,36393700,,,,,,,,,
2010-05-07,27.83,28.24,26.959999,27.75,20.985807,32446500,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10775000000000001
2010-05-10,29.030001,29.43,28.32,28.860001,21.825239,21759900,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7859499999999999
2010-05-11,28.389999,28.99,28.18,28.379999,21.462238,16373200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4423
2010-05-12,27.34,27.9,26.860001,27.799999,21.023621,44435100,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
2010-05-13,28.07,28.360001,27.610001,27.620001,20.887499,18748800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29905000000000004
2010-05-14,27.200001,27.25,26.76,27.08,20.479122,25318000,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.29905000000000004
2010-05-17,27.040001,27.26,26.51,27.110001,20.501814,19187500,,,,,,,,,
2010-05-18,27.440001,27.440001,26.459999,26.73,20.214439,19700400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-05-19,26.59,27.25,26.41,27.040001,20.448885,23831500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74695
2010-05-20,26.4,26.59,25.639999,25.639999,19.390129,26155600,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.39885
2010-05-21,25.08,27.27,25.02,27.110001,20.501814,32435700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-05-24,27.309999,27.309999,25.709999,25.75,19.473318,22723700,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-05-25,24.85,26.15,24.76,26.110001,19.745565,26927700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-05-26,26.59,27.08,26.5,26.530001,20.063192,29530500,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2010-05-27,27.01,27.700001,26.719999,27.66,20.917746,18211000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.60115
2010-05-28,27.57,27.75,26.83,27.110001,20.501814,15335300,,,,,,,,,
2010-06-01,26.790001,27.209999,26.08,26.129999,19.760691,13915400,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-06-02,26.379999,27.209999,26.17,27.18,20.55475,13005800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625
2010-06-03,27.299999,27.389999,26.57,26.85,20.305182,10481400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-06-04,26.25,26.65,25.940001,25.99,19.654814,17110300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-06-07,26.16,26.35,25.23,25.290001,19.12545,14704700,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.352
2010-06-08,25.450001,25.68,24.77,25.59,19.35231,18291700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-06-09,25.75,25.870001,24.940001,25.129999,19.00445,16158600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7202
2010-06-10,25.48,25.709999,25.0,25.59,19.35231,20947000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6366
2010-06-11,25.25,26.07,25.209999,26.0,19.662376,11360000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4742
2010-06-14,26.24,26.25,25.299999,25.33,19.155693,15658900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6366
2010-06-15,25.530001,26.0,25.16,25.950001,19.624563,17954700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2798
2010-06-16,25.77,25.870001,25.450001,25.77,19.48844,15134900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-06-17,25.860001,25.889999,25.190001,25.32,19.148132,18418900,,,,,,,,,
2010-06-18,25.42,25.76,25.200001,25.700001,19.435501,15779800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-06-21,26.02,26.15,25.530001,25.610001,19.367449,15209500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2010-06-22,25.610001,25.92,25.15,25.18,19.042257,16182500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39885
2010-06-23,25.139999,25.41,24.93,25.030001,18.928822,16133900,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2798
2010-06-24,24.879999,24.950001,24.190001,24.26,18.346508,23822700,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2010-06-25,24.65,25.23,24.4,25.01,18.913698,22664600,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
2010-06-28,25.01,25.049999,24.41,24.52,18.543133,12874600,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3409
2010-06-29,24.02,24.040001,23.27,23.450001,17.733957,22892300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61315
