Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
2011-03-03,5.3075,5.3375,5.06,5.2175,4.786671,159370400,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.21405000000000002
2011-03-04,5.2225,5.275,5.1325,5.19,4.76144,95976000,,,,,,,,,
2011-03-07,5.2275,5.245,4.9875,5.1175,4.694927,101914000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2097
2011-03-08,5.1725,5.2,4.78,4.8875,4.48392,194718400,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26165
2011-03-09,4.8725,4.92,4.7425,4.785,4.389884,131897600,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2011-03-10,4.675,4.71,4.475,4.48,4.110068,172273600,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.60115
2011-03-11,4.5175,4.6375,4.415,4.5125,4.139885,148683200,,,,,,,,,
2011-03-14,4.5475,4.6625,4.475,4.55,4.174287,100336000,,,,,,,,,
2011-03-15,4.3275,4.49,4.2525,4.415,4.050436,125628000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.352
2011-03-16,4.375,4.5875,4.325,4.3825,4.020618,147652000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.352
2011-03-17,4.5,4.5075,4.3,4.465,4.096306,123851600,,,,,,,,,
2011-03-18,4.535,4.55,4.4,4.405,4.041259,88696000,,,,,,,,,
2011-03-21,4.5,4.545,4.395,4.44,4.073371,75183200,,,,,,,,,
2011-03-22,4.4275,4.47,4.3425,4.3625,4.00227,71833200,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.60115
2011-03-23,4.355,4.465,4.26,4.4525,4.084838,78239600,,,,,,,,,
2011-03-24,4.5475,4.8625,4.5375,4.8075,4.410524,178059200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2011-03-25,4.85,4.8625,4.65,4.6575,4.272909,119639200,,,,,,,,,
2011-03-28,4.7675,4.91,4.725,4.83,4.431168,120428400,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2011-03-29,4.83,4.8475,4.7275,4.7925,4.396762,71576400,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2011-03-30,4.83,4.85,4.5525,4.6125,4.231628,117632000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.44865
2011-03-31,4.62,4.67,4.53,4.615,4.23392,65511200,,,,,,,,,
2011-04-01,4.675,4.68,4.4875,4.55,4.174287,85007200,,,,,,,,,
