Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier
2011-03-16,55.029999,55.34,53.77,54.150002,48.142254,176507700,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-03-17,55.009998,55.240002,54.130001,54.650002,48.586777,94434500,,,,,,,,,
2011-03-18,55.220001,55.220001,54.41,54.450001,48.477268,94887200,,,,,,,,,
2011-03-21,55.279999,55.779999,54.5,55.5,49.412094,57423000,,,,,,,,,
2011-03-22,55.580002,55.610001,55.279999,55.400002,49.323044,36162100,,,,,,,,,
2011-03-23,55.200001,55.869999,54.82,55.709999,49.599056,60365100,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2011-03-24,56.130001,56.82,55.82,56.700001,50.48045,69502400,,,,,,,,,
2011-03-25,56.880001,57.220001,56.73,56.84,50.60511,74131100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-03-28,57.09,57.099998,56.5,56.529999,50.329109,37824000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-29,56.400002,57.080002,56.23,57.080002,50.818764,47994800,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-03-30,57.360001,57.43,57.080002,57.349998,51.059158,44935900,,,,,,,,,
2011-03-31,57.25,57.48,57.150002,57.43,51.130383,50004300,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2011-04-01,57.720001,57.900002,57.290001,57.459999,51.157089,68031800,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
2011-04-04,57.619999,57.68,57.02,57.27,50.987923,48659100,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2011-04-05,57.16,57.490002,57.0,57.119999,50.854393,55349400,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2011-04-06,57.560001,57.73,56.93,57.259998,50.979042,49532100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-04-07,57.240002,57.599998,56.810001,57.220001,50.94342,60697000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-04-08,57.48,57.57,56.650002,56.950001,50.703033,42782200,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-04-11,57.169998,57.290001,56.560001,56.759998,50.533886,42451700,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-04-12,56.5,56.639999,56.150002,56.369999,50.186661,50422800,,,,,,,,,
2011-04-13,56.790001,57.0,56.400002,56.849998,50.614006,49979800,,,,,,,,,
2011-04-14,56.459999,56.830002,56.23,56.75,50.524979,53544100,,,,,,,,,
2011-04-15,56.529999,56.869999,56.279999,56.650002,50.435951,68530000,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2011-04-18,56.080002,56.27,55.32,56.25,50.079811,69065000,,,,,,,,,
2011-04-19,56.400002,56.599998,56.099998,56.599998,50.391418,38608400,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2011-04-20,57.599998,57.939999,57.529999,57.880001,51.531036,67397500,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-04-21,58.439999,58.470001,58.16,58.34,51.940556,43666800,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2011-04-25,58.389999,58.52,58.279999,58.490002,52.074112,25376800,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-04-26,58.639999,59.029999,58.509998,58.82,52.367912,49400000,,,,,,,,,
2011-04-27,58.93,59.290001,58.66,59.220001,52.724022,56465500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-04-28,59.040001,59.23,58.880001,59.130001,52.643902,48100000,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2011-04-29,59.02,59.290001,58.98,59.080002,52.599392,44831200,,,,,,,,,
2011-05-02,59.169998,59.34,58.82,58.970001,52.501465,48149400,,,,,,,,,
2011-05-03,58.939999,59.0,58.330002,58.689999,52.252171,38100000,,,,,,,,,
2011-05-04,58.720001,58.869999,58.110001,58.599998,52.172043,53097200,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-05,58.310001,58.970001,58.080002,58.279999,51.887146,72200000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-06,58.860001,59.200001,58.310001,58.470001,52.056297,72507000,,,,,,,,,
2011-05-09,58.57,58.919998,58.34,58.689999,52.252171,40022000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2011-05-10,58.860001,59.279999,58.779999,59.189999,52.697323,38053600,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2011-05-11,59.099998,59.310001,58.360001,58.759998,52.314495,61900000,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-05-12,58.580002,59.189999,58.240002,59.110001,52.626106,66100000,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-13,58.970001,59.07,58.389999,58.41,52.00288,63506600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-16,58.139999,58.32,57.27,57.400002,51.103683,73115300,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-05-17,57.099998,57.57,56.98,57.560001,51.24614,63136000,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-18,57.48,58.139999,57.41,58.040001,51.673481,42351100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-19,58.220001,58.34,57.849998,58.209999,51.824829,35015800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
